Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Agnes Scott College,53%,62%,62%,27%,18%,540-640,620-700,25-31,21%,Considered,Nov 1,Jan 15,Jan 15,-,Mar 15,"$68,622",12%,"$37,277",64%,"$40,205",84%,Through Senior Year,"$41,382","$56,274","$645,000",81%,64%,71%,,,Decatur,GA,52°/33°,73°/49°,88°/70°,72°/52°,109,218,843,100%,0%,32%,4%,14%,40%,,3%
Allegheny College,31%,55%,47%,29%,9%,565-665,610-690,24-30,12%,Considered,Feb 15,-,Feb 15,-,Feb 15,"$76,550",27%,"$34,775",93%,"$38,456",90%,Through Senior Year,"$45,603","$62,069","$786,000",78%,67%,73%,,,Meadville,PA,32°/17°,58°/35°,81°/58°,61°/40°,160,160,"1,171",51%,48%,9%,3%,7%,69%,,6%
American University,80%,62%,61%,22%,8%,620-710,660-740,29-32,42%,Very Important,Nov 15,Feb 1,Nov 15,-,Feb 15,"$83,182",28%,"$13,691",89%,"$35,389",Not Reported,Through Sophomore Year,"$61,328","$77,370","$915,000",88%,68%,75%,,,Washington,DC,43°/27°,67°/45°,89°/69°,69°/48°,114,203,"7,476",62%,38%,8%,7%,14%,55%,,7%
Amherst College,29%,9%,8%,39%,22%,750-800,740-780,33-35,3%,Not Considered,Nov 14,-,-,-,Jan 15,"$94,890",0%,$0,100%,"$68,154",97%,Through Senior Year,"$62,537","$77,644","$1,109,000",97%,75%,93%,,,Amherst,MA,33°/13°,58°/35°,82°/59°,61°/38°,118,190,"1,914",55%,45%,9%,16%,14%,36%,,13%
Appalachian State University,N/A,90%,90%,9%,23%,550-620,570-660,21-27,86%,Important,-,-,Mar 1,-,Mar 1,"$24,997 (IS) / $43,287 (OS)",11%,"$2,419",55%,"$9,608",31%,Through Freshman Year,"$43,663","$51,836","$671,000",85%,59%,74%,,,Boone,NC,40°/20°,61°/39°,78°/59°,62°/41°,138,204,"19,560",55%,45%,3%,2%,9%,79%,,1%
Arizona State University,N/A,90%,90%,13%,33%,560-700,560-680,19-28,90%,Not Considered,-,-,-,-,Jan 15,"$36,114 (IS) / $58,306 (OS)",36%,"$8,687",61%,"$14,273",24%,None,"$52,843","$62,668","$843,000",86%,56%,67%,,"$75,804",Tempe,AZ,68°/42°,85°/55°,104°/78°,88°/59°,36,300,"65,450",49%,51%,4%,9%,27%,41%,,8%
Auburn University,N/A,46%,46%,18%,76%,620-700,630-690,26-31,7%,Not Considered,-,-,Feb 14,Feb 14,Feb 14,"$37,894 (IS) / $60,598 (OS)",38%,"$8,190",60%,"$12,038",18%,None,"$54,629","$65,337","$817,000",93%,60%,81%,,"$65,711",Auburn,AL,56°/33°,75°/49°,90°/70°,76°/53°,108,217,"27,907",51%,49%,4%,3%,5%,83%,,2%
Babson College,28%,17%,16%,22%,3%,720-790,670-740,31-34,12%,Considered,Nov 15,Feb 1,Nov 15,-,Feb 1,"$85,416",4%,"$27,174",100%,"$51,791",76%,Through Freshman Year,"$91,354","$123,938","$1,523,000",95%,84%,93%,Weissman Scholarship; Arthur M. Blank Scholarship,,Wellesley,MA,36°/17°,58°/37°,83°/62°,62°/40°,128,201,"2,793",44%,56%,5%,13%,17%,27%,,28%
Bard College,56%*,52%,46%*,13%,9%,620-700,670-740,30-32,Not Reported,Considered,Dec 1,Feb 1,Dec 1,-,Feb 1,"$84,852",Not Reported,"$34,750",92%,"$56,026",99%*,Through Sophomore Year,"$31,072","$46,543","$497,000",85%*,57%*,73%*,,,Annandale-On-Hudson,NY,34°/13°,61°/35°,84°/59°,63°/38°,121,182,"2,453",57%,43%,14%,3%,13%,45%,,14%
Barnard College,26%,9%,6%,35%,15%,740-790,730-770,32-34,Not Reported,Considered,Nov 1,-,-,-,Jan 15,"$97,009",0%,$0,100%,"$67,160",73%,None,"$60,411","$80,516","$1,007,000",97%,81%,93%,,,New York,NY,39°/27°,61°/44°,85°/69°,65°/50°,122,224,"3,269",100%,0%,6%,22%,14%,32%,,16%
